SUPPLIER_AID;EAN;DESCRIPTION_SHORT;DESCRIPTION_LONG;MANUFACTURER_AID;MANUFACTURER_NAME;ARTICLE_PRICE price_type;PRICE_AMOUNT;PRICE_QUANTITY;DATETIME start;DATETIME end;TAX;DELIVERY_TIME;ORDER_UNIT;CONTENT_UNIT;NO_CU_PER_OU;QUANTITY_MIN;QUANTITY_INTERVAL;KEYWORDS;CATALOG_GROUP_ID;REFERENCE_FEATURE_SYSTEM_NAME;REFERENCE_FEATURE_GROUP_ID;MIME_SOURCE;MIME_PURPOSE;MIME_DESCR
71459824;99945277;QuickFlex;Flexible and fast solution for your needs.;ZG5RT2L;StellarTech;net_customer;24,99;1;2022-01-01;2025-01-01;20;2;PA;C62;5;1;1;flexible, fast, versatile;201;ECLASS-4.1;11-11-11-11;71459824.png;normal;Flexible Solution
71193397;94288294;ZenižGlóš;Achieve radiant beauty with this illuminating skincare product.;LCN9W4J;LuminaCosmetics;net_customer;39,99;1;2022-01-01;2025-01-01;10;2;PF;C62;20;1;1;radiant, skincare, beauty, glow;201;ECLASS-4.1;22-22-22-22;71193397.png;normal;Radiant Skincare
36195416;98957958;TurboWave;Experience powerful performance with this cutting-edge technology.;VT7M2X6;VelocityIndustries;net_customer;79,99;1;2022-01-01;2025-01-01;20;2;C62;C62;;5;5;powerful, cutting-edge, advanced;201;ECLASS-4.1;33-33-33-33;36195416.png;normal;Powerful Tech
24371910;97439504;NóvaShade;Find modern shade solutions that combine style and functionality.;SD8KP3R;ShadeMasters;net_customer;49,99;1;2022-01-01;2025-01-01;20;2;C62;C62;;1;1;modern, shade, stylish, functional;202;ECLASS-4.1;44-44-44-44;24371910.png;normal;Modern Shade
92349971;95220753;SparkleFresh;Refreshingly brighten your day with this invigorating product.;SP2C9L5;SparkleCo;net_customer;9,99;1;2022-01-01;2025-01-01;20;2;PA;RO;4;1;1;refreshing, bright, invigorating;202;ECLASS-4.1;55-55-55-55;92349971.png;normal;Refreshing
36601378;99704800;SwiftMist;Get instant refreshment with this quick and revitalizing mist.;RM4F9G2;RefreshMist;net_customer;14,99;1;2022-01-01;2025-01-01;20;2;PA;C62;3;5;5;quick, revitalizing, refreshing;203;ECLASS-4.1;66-66-66-66;36601378.png;normal;Quick Mist
60898852;92834352;LunaPulse;Illuminate your space with this energy-efficient lighting solution.;LX5V1N9;LuminexLights;net_customer;29,99;1;2022-01-01;2025-01-01;20;2;PR;C62;2;1;1;illuminate, energy-efficient;203;ECLASS-4.1;77-77-77-77;60898852.png;normal;Efficient Light
46754022;94878533;SolarBurst;Harness the brilliance of the sun with this solar-powered device.;SL6T9C3;SolarTech;net_customer;119,99;1;2022-01-01;2025-01-01;20;2;PR;C62;2;1;1;solar-powered, brilliant;301;ECLASS-4.1;77-77-77-77;46754022.png;normal;Solar Burst
29692857;98573571;PowerLuxe;Indulge in ultimate power and luxury with this high-end product.;EL9P7X4;EliteLux;net_customer;199,99;1;2022-01-01;2025-01-01;10;2;PR;C62;2;1;1;luxury, high-end, ultimate;301;ECLASS-4.1;77-77-77-77;29692857.png;normal;Luxury Power
85757944;91418470;AquaGlide;Experience the smoothest water adventure with this gliding companion.;AG3C6B9;AquaGlideCorp;net_customer;59,99;1;2022-01-01;2025-01-01;20;2;PR;C62;2;1;1;smooth, water, adventure;301;ECLASS-4.1;77-77-77-77;85757944.png;normal;Smooth Adventure
82068117;93284892;ThunderBolt;Unleash electrifying speed and performance with this cutting-edge device.;TH5B6R8;ThunderTech;net_customer;149,99;1;2022-01-01;2025-01-01;20;2;PR;C62;2;1;1;electrifying, speed, performance;302;ECLASS-4.1;77-77-77-77;82068117.png;normal;Electrifying Speed
20503603;96569556;CrystalGlow;Enhance your natural glow with this crystal clear skincare formula.;CC8R5N2;CrystalClear;net_customer;34,99;1;2022-01-01;2025-01-01;20;2;PR;C62;2;1;1;enhance, glow, skincare;302;ECLASS-4.1;77-77-77-77;20503603.png;normal;Enhanced Glow
14690165;98291478;ElectroMist;Invigorate your senses with this electrifying and refreshing mist.;EM2K9N5;ElectraMist;net_customer;19,99;1;2022-01-01;2025-01-01;20;2;PR;C62;2;1;1;invigorate, refreshing, electrify;302;ECLASS-4.1;77-77-77-77;14690165.png;normal;Refreshing Mist
34314045;98906151;SkyBlaze;Embark on a fiery sky adventure with this thrilling product.;SF9G4R2;SkyFire;net_customer;69,99;1;2022-01-01;2025-01-01;20;2;PR;C62;2;1;1;fiery, adventure, thrilling;302,201201;ECLASS-4.1;77-77-77-77;34314045.png;normal;Fiery Adventure
24371516;92493589;UltraGlide;Effortlessly glide through your tasks with this high-performance tool.;PG7T2L4;ProGlide;net_customer;79,99;1;2022-01-01;2025-01-01;20;2;PR;C62;2;1;1;effortless, high-performance, glide;303,302,605;ECLASS-4.1;77-77-77-77;24371516.png;normal;Effortless Gli
